"dataset_id","variable_count","year_label","year_start","year_end","region","dataset_type","cycle_label","is_supplement","supplement_type","is_bootstrap"
"CCHS2009_ONT_SHARE_BOOT",502,"2009",2009,2009,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2009_ONT_SHARE_BOOT_HH",502,"2009",2009,2009,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2009_ONT_SHARE_BOOT_LHIN",502,"2009",2009,2009,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS2009_ONT_SHARE_HH",2,"2009",2009,2009,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2009_ONT_SHARE_LEVEL1",5,"2009",2009,2009,"Ontario","Share","Annual",TRUE,"Level 1 geography",FALSE
"CCHS2009_ONT_SHARE_LHIN",2,"2009",2009,2009,"Ontario","Share","Annual",TRUE,"LHIN geography",FALSE
"CCHS2010_INC_IMP",9,"2010",2010,2010,"National","Income","Annual",FALSE,"-",FALSE
"CCHS2010_ONT_SHARE",1384,"2010",2010,2010,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS2010_ONT_SHARE_BOOT",502,"2010",2010,2010,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS2010_ONT_SHARE_BOOT_HH",502,"2010",2010,2010,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS2010_ONT_SHARE_BOOT_LHIN",502,"2010",2010,2010,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS2010_ONT_SHARE_HH",2,"2010",2010,2010,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
"CCHS2010_ONT_SHARE_LEVEL1",5,"2010",2010,2010,"Ontario","Share","Annual",TRUE,"Level 1 geography",FALSE
"CCHS2010_ONT_SHARE_LHIN",2,"2010",2010,2010,"Ontario","Share","Annual",TRUE,"LHIN geography",FALSE
"CCHS201112_CCHS_PUMF",1207,"2011-2012",2011,2012,"National","PUMF","Annual",FALSE,"-",FALSE
"CCHS201112_ONT_LINK",832,"2011-2012",2011,2012,"Ontario","Linked","Annual",FALSE,"-",FALSE
"CCHS201112_ONT_LINK_BOOT",503,"2011-2012",2011,2012,"Ontario","Linked","Annual",FALSE,"-",TRUE
"CCHS201112_ONT_LINK_BOOT_LHIN",503,"2011-2012",2011,2012,"Ontario","Linked","Annual",TRUE,"LHIN geography",TRUE
"CCHS201112_ONT_LINK_LEVEL1",7,"2011-2012",2011,2012,"Ontario","Linked","Annual",TRUE,"Level 1 geography",FALSE
"CCHS201112_ONT_LINK_LHIN",3,"2011-2012",2011,2012,"Ontario","Linked","Annual",TRUE,"LHIN geography",FALSE
"CCHS201112_ONT_SHARE",826,"2011-2012",2011,2012,"Ontario","Share","Annual",FALSE,"-",FALSE
"CCHS201112_ONT_SHARE_BOOT",502,"2011-2012",2011,2012,"Ontario","Share","Annual",FALSE,"-",TRUE
"CCHS201112_ONT_SHARE_BOOT_HH",502,"2011-2012",2011,2012,"Ontario","Share","Annual",TRUE,"Household weights",TRUE
"CCHS201112_ONT_SHARE_BOOT_LHIN",502,"2011-2012",2011,2012,"Ontario","Share","Annual",TRUE,"LHIN geography",TRUE
"CCHS201112_ONT_SHARE_HH",2,"2011-2012",2011,2012,"Ontario","Share","Annual",TRUE,"Household weights",FALSE
