format_name,codes
CCHS2012_ONT_MH_LINK_NSIDSCFM,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_PERS2D,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_PHSAPAFM,99.9996=NOT APPLICABLE; 99.9997=DON'T KNOW; 99.9998=REFUSAL; 99.9999=NOT STATED
CCHS2012_ONT_MH_LINK_PHSQ02FM,1=0 TO 15 MINUTES; 2=16 TO 30 MINUTES; 3=31 TO 60 MINUTES; 4=61 TO 2 HOURS; 5=MORE THAN 2 HRS; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_PMHDEMFM,0=NOT HIGH EMO. W; 1=HIGH EMO. W-B.; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_PMHDFUFM,0=NOT HIGH POS. F.; 1=HIGH POS. F.; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_PMH_FUFM,0=NOT LOW POS. FUN; 1=LOW POS. FUNC.; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_PMH_LEFM,0=NOT LOW EMO. W-B; 1=LOW EM. W-B; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_PNCDHCFM,6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_PNCDNEFM,1=NO PERC. NEED; 2=ALL PERC. NEED; 3=PERC. NEED PAR.; 4=PERC.N. NOT MET; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_PNCDPNFM,1=NO NEED; 2=NEED MET; 3=NEED PART. MET; 4=NEED NOT MET; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_PNCDPOFM,1=NO NEED; 2=NEED MET; 3=NEED PART. MET; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_SCORE1FM,0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_SCORE2D,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_SCORE3FM,9.96=NOT APPLICABLE; 9.97=DON'T KNOW; 9.98=REFUSAL; 9.99=NOT STATED
CCHS2012_ONT_MH_LINK_SPIQ01FM,1=VERY IMP.; 2=SOMEWHAT IMP.; 3=NOT VERY IMP.; 4=NOT AT ALL IMP.; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_SR1DYNFM,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_SR1RO1FM,99996=NOT APPLICABLE; 99997=DON'T KNOW; 99998=REFUSAL; 99999=NOT STATED
CCHS2012_ONT_MH_LINK_SR1ROTFM,999996=NOT APPLICABLE; 999997=DON'T KNOW; 999998=REFUSAL; 999999=NOT STATED
CCHS2012_ONT_MH_LINK_STS_Q3FM,1=TIME PRESSURE; 10=PERS./FAM. RESP.; 2=PHYSICAL HEALTH; 3=MENTAL HEALTH; 4=FINANCIAL SIT.; 5=WORK. SITUATION; 6=SCHOOL; 7=EMPLOYMNT STATUS; 8=CARING FOR CHILD; 9=CARING FOR OTHER
CCHS2012_ONT_MH_LINK_TIMES2D,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_TIMES3D,996=NOT APPLICABLE; 997=DON'T KNOW; 998=REFUSAL; 999=NOT STATED
CCHS2012_ONT_MH_LINK_WEEKNUM,96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_WHTFM,1=POUNDS; 2=KILOGRAMS; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_WST412FM,1=STRONGLY AGREE; 2=AGREE; 3=NEITHER NOR; 4=DISAGREE; 5=STRONG DISAGREE; 6=RESP. NOT APP.; 96=NOT APPLICABLE; 97=DON'T KNOW; 98=REFUSAL; 99=NOT STATED
CCHS2012_ONT_MH_LINK_WSTQ2FM,1=VERY SATISFIED; 2=SOME SATISFIED; 3=NOT TOO SATISF.; 4=NOT AT ALL SAT.; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_YEAR62FM,0=LESS THAN 0.005; 999.96=NOT APPLICABLE; 999.97=DON'T KNOW; 999.98=REFUSAL; 999.99=NOT STATED
CCHS2012_ONT_MH_LINK_YESNO,1=YES; 2=NO; 3=NOT REQUIRED; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_YESNOFM,1=YES; 2=NO; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
CCHS2012_ONT_MH_LINK_YESNO_C,1=YES; 2=NO; 6=NOT APPLICABLE; 7=DON'T KNOW; 8=REFUSAL; 9=NOT STATED
