Library: CCHS Member: 01. CCHS 2000-2001 Canadian Community Health Survey
Back Search    Search
Variable Name	Description	Type
FINAFDN	Food insecurity flag	Num8
FLUA_160	Ever had a flu shot	Num8
FLUA_162	Last time had flu shot	Num8
FLUA_66A	No flu shot - have not gotten around it	Num8
FLUA_66B	No flu shot - resp. didn't think necess.	Num8
FLUA_66C	No flu shot - doctor didn't think nec.	Num8
FLUA_66D	No flu shot - personal/family resp.	Num8
FLUA_66E	No flu shot - not avail. when required	Num8
FLUA_66F	No flu shot - not available in area	Num8
FLUA_66G	No flu shot - waiting time too long	Num8
FLUA_66H	No flu shot - transportation problems	Num8
FLUA_66I	No flu shot - language problem	Num8
FLUA_66J	No flu shot - cost	Num8
FLUA_66K	No flu shot - did not know where to go	Num8
FLUA_66L	No flu shot - fear	Num8
FLUA_66M	No flu shot - bad reaction to prev. shot	Num8
FLUA_66N	No flu shot - other reason	Num8
FVCADCAR	Daily consumption - carrots (D)	Num8
FVCADFRU	Daily consumption - fruit (D)	Num8
FVCADJUI	Daily consumption - fruit juice (D)	Num8
FVCADPOT	Daily consumption - potatoes (D)	Num8
FVCADSAL	Daily consumption - green salad (D)	Num8
FVCADTOT	Daily cons. - total fruits and veg. (D)	Num8
FVCADVEG	Daily consumption – other vegetables (D)	Num8
FVCAGTOT	Daily cons. – total fruits and veg. (G)	Num8
GENA_01	Self-perceived health	Num8
GENA_02	Self-perceived hlth - compared 1 yr ago	Num8
GENA_03	No./hours spent sleeping each night	Num8
GENA_04	Freq. - trouble sleeping	Num8
GENA_05	Freq. - find sleep refreshing	Num8
GENA_06	Freq. - find it difficult to stay awake	Num8
GENA_07	Self perc. eval. - life stress	Num8
GENA_08	Worked in the past 12 months	Num8
GENA_09	Self perc. eval. - work stress	Num8
GENA_10	Self perc. eval. - belonging/local comm.	Num8
GENADHDI	Health description index - (D)	Num8
GEOADPMF	Health Region (5) - (G)	Num8
GEOAGPRV	Province - (G)	Num8
HCUA_01	Overnight patient	Num8
HCUA_04	Consulted altern. health care provider	Num8
HCUA_04A	Attended self-help group	Num8
HCUA_05A	Altern. health care - massage therapist	Num8
HCUA_05B	Altern. health care - acupuncturist	Num8
HCUA_05C	Altern. health care - homeopath/naturo.	Num8
HCUA_06	Self-perceived unmet health care needs	Num8
HCUA_07A	Care not received - not avail. in area	Num8
HCUA_07B	Care not received - not av. when require	Num8
HCUA_07C	Care not received - wait too long	Num8
HCUA_07D	Care not received - felt/be inadequate	Num8
HCUA_07E	Care not received - cost	Num8
HCUA_07F	Care not received - too busy	Num8
HCUA_07G	Care not received - didn't get around it	Num8
HCUA_07H	Care not received - didn't know where	Num8
HCUA_07I	Care not received - transportation prob.	Num8
HCUA_07J	Care not received - language problem	Num8
HCUA_07K	Care not received- pers./fam. resp.	Num8
HCUA_07L	Care not received - dislikes dr./afraid	Num8
HCUA_07M	Care not received - decided not to seek	Num8
HCUA_07N	Care not received - other reason	Num8
HCUA_08A	Type/care not rec. - phys. health prob.	Num8
HCUA_08B	Type/care not rec. - emot./mental prob.	Num8
HCUA_08C	Type/care not rec. - regular check-up	Num8
HCUA_08D	Type/care not rec. - injury	Num8
HCUA_08E	Type/care not rec. - other	Num8
HCUAFHPC	Consultation with any health prof. (F)	Num8
HCUAG01A	No./nights as patient - (G)	Num8
HCUAG02A	No./consultations - family doc./g.p. (G)	Num8
HCUAG02B	No./consultations - eye specialist - (G)	Num8
HCUAG02C	No./consultations - other medical dr.(G)	Num8
HCUAG02D	No./consultations - nurse - (G)	Num8
HCUAG02E	No./consultations - dentist/ortho. - (G)	Num8
HCUAG02F	No./consultations - chiropractor - (G)	Num8
HCUAG02G	No./consultations - physiotherapist (G)	Num8
HCUAG02H	No./consultations - soc. work./couns.(G)	Num8
HCUAG02I	No./consul. - psychologist - (G)	Num8
HCUAG02J	No./consul. - speech/aud./occ. ther. (G)	Num8
HCUAG03A	Place/most recent cont.-family doctor(G)	Num8
HCUAG03C	Place/most recent cont.-oth. med. doc(G)	Num8
HCUAG03D	Place/most recent cont. - nurse - (G)	Num8
HCUAG05L	Altern. health care - (G)	Num8
HCUAGMDC	No. of consultations/med. doctors - (G)	Num8
HMCA_09	Received home care services	Num8
HMCA_10A	Home care received - nursing care	Num8
HMCA_10B	Home care received - other health care	Num8
HMCA_10C	Home care received - personal care	Num8
HMCA_10D	Home care received - housework	Num8
HMCA_10E	Home care received - meal prep./delivery	Num8
HMCA_10F	Home care received - shopping	Num8
HMCA_10G	Home care received - respite care	Num8
HMCA_10H	Home care received - other type	Num8
HUIADCOG	Cognition prob. - function code - (D)	Num8
HUIADEMO	Emotional problems - function code - (D)	Num8
HUIADHSI	Health Utility Index (HUI3) - (D)	Num8
HUIADPAD	Act. prevent/pain - function code - (D)	Num8
HUIAGDEX	Dexterity trouble - function code (D, G)	Num8
HUIAGHER	Hearing problems - function code (D, G)	Num8
HUIAGMOB	Mobility trouble - function code (D, G)	Num8
HUIAGSPE	Speech trouble - function code - (D, G)	Num8
HUIAGVIS	Vision trouble - function code - (D, G)	Num8
HWTAGBMI	Body Mass Index - (D, G)	Num8
HWTAGHT	Height - (G)	Num8
HWTAGSW	Standard weight - (D, G)	Num8
HWTAGWTK	Weight - kilograms (D, G)	Num8
INCADIA2	Income adequacy - 2 groups - (D)	Num8
INCADIA4	Income adequacy - 4 groups - (D)	Num8
INCADIA5	Income adequacy - 5 groups - (D)	Num8
INCAFDN	Family income flag	Num8
INCAG2	Total hhld inc. - main source - (G)	Num8
INCAGHH	Total hhld inc. from all sources (D, G)	Num8
INCAGPER	Total pers. inc. from all sources (D, G)	Num8
INJA_01	Injured in past 12 months	Num8
INJA_10	Most serious injury - result of a fall	Num8
INJA_13	Injury - received treatment/48hours	Num8
INJA_14A	Treatment site - doctor's office	Num8
INJA_14B	Treatment site - hospital emergency room	Num8
INJA_15	Most serious injury - hospital admission	Num8
INJA_16	Other injuries - treated / not limiting	Num8
INJADSTT	Injury Status - (D)	Num8
INJAG02	Number of injuries - (G)	Num8
INJAG05	Most serious injury - (G)	Num8
INJAG06	Most serious injury/body part aff. (G)	Num8
INJAG08	Most serious injury - place - (G)	Num8
INJAG09	Most serious injury - activity - (G)	Num8
INJAG11	Most serious injury - how fell - (G)	Num8
INJAG14C	Treatment site - clinic - (G)	Num8
INJAG14G	Treatment site - work/school/home - (G)	Num8
INJAG14J	Treatment site - telephone/other - (G)	Num8
INJAG17	Number of other injuries - (G)	Num8
INJAGCAU	Cause of injury - (D,G)	Num8
LBFA_31A	Occupation	Num8
LBFA_35	Smoking restictions at work	Num8
LBFADHPW	Total hours usually worked/week - (D)	Num8
LBFADMJS	Multiple job status - (D)	Num8
LBFADPFT	Usual hrs worked - full or part time (F)	Num8
LBFADSTU	Student working status - (D)	Num8
LBFADWSS	Status last week - 4 groups - (D)	Num8
LBFAG31	Self-employment status - (G)	Num8
LBFAGJST	Job status over past year - (G)	Num8
LBFAGRNW	Reason/not working last week - (D, G)	Num8
MAMA_30	Ever had mammogram	Num8
MAMA_31A	Had mammogram - family history	Num8
MAMA_31B	Had mammogram - regular check-up	Num8
MAMA_31C	Had mammogram - age	Num8
MAMA_31D	Had mammogram - previously detected lump	Num8
MAMA_31E	Had mammogram - follow-up treatment	Num8
MAMA_31F	Had mammogram - hormone replac. therapy	Num8
MAMA_31G	Had mammogram - breast problems	Num8
MAMA_31H	Had mammogram - other reason	Num8
MAMA_32	Last time mammogram was done	Num8
MAMA_36A	No mam. - have not gotten around to it	Num8
MAMA_36B	No mam. - doctor didn't think necessary	Num8
MAMA_36C	No mam. - doctor didn't think necessary	Num8
MAMA_36D	No mam. - personal/family resp.	Num8
MAMA_36E	No mam. - not available when required	Num8
MAMA_36F	No mam. - not available in the area	Num8
MAMA_36G	No mam. - waiting time was too long	Num8
MAMA_36H	No mam. - transportation problems	Num8
MAMA_36I	No mam. - language problem	Num8
MAMA_36J	No mam. - cost	Num8
MAMA_36K	No mam. - did not know where to go	Num8
MAMA_36L	No mam. - fear	Num8
MAMA_36M	No mam. - other reason	Num8
MAMA_38	Had a hysterectomy	Num8
MASADM1	Mastery scale - (D)	Num8
MDBADBA1	Affect balance - method A - (D)	Num8
MDBADBA2	Affect balance - method B - (D)	Num8
MDBADNEG	Affect balance - negative mood - (D)	Num8
MDBADPOS	Affect balance - positive mood - (D)	Num8
PACA_1A	Act./last 3 months - walking	Num8
PACA_1B	Act./last 3 months - gardening/yard work	Num8
PACA_1C	Act./last 3 months - swimming	Num8
PACA_1D	Act./last 3 months - bicycling	Num8
PACA_1E	Act./last 3 months - pop./social dance	Num8
PACA_1F	Act./last 3 months - home exercises	Num8
PACA_1G	Act./last 3 months - ice hockey	Num8
PACA_1H	Act./last 3 months - ice skating	Num8
PACA_1I	Act./last 3 months - in-line skat./roll.	Num8
PACA_1J	Act./last 3 months - jogging or running	Num8
PACA_1K	Act./last 3 months - golfing	Num8
PACA_1L	Act./last 3 months - ex. class/aerobics	Num8
PACA_1M	Act./last 3 months - skiing/snowboarding	Num8
PACA_1N	Act./last 3 months - bowling	Num8
PACA_1O	Act./last 3 months - baseball/softball	Num8
PACA_1P	Act./last 3 months - tennis	Num8
PACA_1Q	Act./last 3 months - weight-training	Num8
PACA_1R	Act./last 3 months - fishing	Num8
PACA_1S	Act./last 3 months - volleyball	Num8
PACA_1T	Act./last 3 months - basketball	Num8
PACA_1U	Act./last 3 months - other (#1)	Num8
PACA_1V	Activity / last 3 months - no activity	Num8
PACA_1W	Act./last 3 months - other (#2)	Num8
PACA_1X	Act./last 3 months - other (#3)	Num8
PACA_2A	No./times partic. - walking for exercise	Num8
PACA_2B	No./times partic. - gardening	Num8
PACA_2C	No./times partic. - swimming	Num8
PACA_2D	No./times partic. - bicycling	Num8
PACA_2E	No./times partic. - popular/social dance	Num8
PACA_2F	No./times partic. - home exercises	Num8
PACA_2G	No./times partic. - ice hockey	Num8
PACA_2H	No./times partic. - ice skating	Num8
PACA_2I	No./times partic. -in-line skat/ rollerb	Num8
PACA_2J	No./times partic. - jogging/running	Num8
PACA_2K	No./times partic. - golfing	Num8
PACA_2L	No./times partic. - ex. class/aerobics	Num8
PACA_2M	No./times - downhill skiing/snowboarding	Num8
PACA_2N	No./times partic. - bowling	Num8
PACA_2O	No./times partic. - baseball or softball	Num8
PACA_2P	No./times partic. - tennis	Num8
PACA_2Q	No./times partic. - weight training	Num8
PACA_2R	No./times partic. - fishing	Num8
PACA_2S	No./times partic. - volleyball	Num8
PACA_2T	No./times partic. - basketball	Num8
PACA_2U	No./times partic. - other activity (#1)	Num8
PACA_2W	No./times partic. - other activity (#2)	Num8
PACA_2X	No./times partic. - other activity (#3)	Num8
PACA_3A	Time spent - walking for exercise	Num8
PACA_3B	Time spent - gardening	Num8
PACA_3C	Time spent - swimming	Num8
PACA_3D	Time spent - bicycling	Num8
PACA_3E	Time spent - popular/social dance	Num8
PACA_3F	Time spent - home exercises	Num8
PACA_3G	Time spent - ice hockey	Num8
PACA_3H	Time spent - ice skating	Num8
PACA_3I	Time spent - in-line skating/rollerblad	Num8
PACA_3J	Time spent - jogging/running	Num8
PACA_3K	Time spent - golfing	Num8
PACA_3L	Time spent - exercise class/aerobics	Num8
PACA_3M	Time spent -downhill skiing/snowboarding	Num8
PACA_3N	Time spent - bowling	Num8
PACA_3O	Time spent - baseball/softball	Num8
PACA_3P	Time spent - tennis	Num8
PACA_3Q	Time spent - weight training	Num8
PACA_3R	Time spent - fishing	Num8
PACA_3S	Time spent - volleyball	Num8
PACA_3T	Time spent - basketball	Num8
PACA_3U	Time spent - other activity (#1)	Num8
PACA_3W	Time spent - other activity (#2)	Num8
PACA_3X	Time spent - other activity (#3)	Num8
PACA_4A	No./hours spent - walking work/school	Num8
PACA_4B	No./hours spent - biking-work/school	Num8
PACA_6	Level of physical activity for usual day	Num8
PACADEE	Energy expenditure - (D)	Num8
PACADFM	Monthly freq./phys. act. >15 min. - (D)	Num8
