ices_id,dataset_id,year_start,year_end,geo,temporal_type,content,release,cycle,subfile,n_variables,n_primary_sources,n_secondary_sources
CCHS2015_RFH_CAN_SHARE,cchs-2015s-s-can-nut,2015,2015,can,single,nut,share,,,563,0,1
CCHS2015_RFH_CAN_SHARE_BOOT,cchs-2015s-s-can-nut-boot,2015,2015,can,single,nut,share,,boot,1002,0,1
CCHS2015_RFH_CAN_SHARE_LEVEL1,cchs-2015s-s-can-nut-level1,2015,2015,can,single,nut,share,,level1,4,0,1
CCHS2015_RFH_CAN_PC,cchs-2015s-s-can-nut-postalcode,2015,2015,can,single,nut,share,,postalcode,2,0,1
CCHS2015_ONT_SHARE,cchs-2015s-s-ont,2015,2015,ont,single,gen,share,,,940,0,1
CCHS2015_ONT_SHARE_BOOT,cchs-2015s-s-ont-boot,2015,2015,ont,single,gen,share,,boot,1002,0,1
CCHS2015_ONT_SHARE_BOOT_HH,cchs-2015s-s-ont-boot.hh,2015,2015,ont,single,gen,share,,boot.hh,1002,0,1
CCHS2015_ONT_SHARE_HH,cchs-2015s-s-ont-hh,2015,2015,ont,single,gen,share,,hh,2,0,1
CCHS2015_RFH_ONT_SHARE,cchs-2015s-s-ont-nut,2015,2015,ont,single,nut,share,,,562,0,1
CCHS2015_RFH_ONT_SHARE_BOOT,cchs-2015s-s-ont-nut-boot,2015,2015,ont,single,nut,share,,boot,1002,0,1
CCHS2015_RFH_ONT_SHARE_LEVEL1,cchs-2015s-s-ont-nut-level1,2015,2015,ont,single,nut,share,,level1,4,0,1
CCHS2016_ONT_SHARE,cchs-2016s-s-ont,2016,2016,ont,single,gen,share,,,839,0,1
CCHS2016_ONT_SHARE_BOOT,cchs-2016s-s-ont-boot,2016,2016,ont,single,gen,share,,boot,1002,0,1
CCHS2016_ONT_SHARE_BOOT_HH,cchs-2016s-s-ont-boot.hh,2016,2016,ont,single,gen,share,,boot.hh,1002,0,1
CCHS2016_ONT_SHARE_HH,cchs-2016s-s-ont-hh,2016,2016,ont,single,gen,share,,hh,2,0,1
CCHS201718_LINKED_IKN,cchs-2017d-l-can-ikn,2017,2018,can,dual,gen,linked,,ikn,3,0,1
,cchs-2017d-m-can,2017,2018,can,dual,gen,master,,,1051,0,0
,cchs-2017d-p-can,2017,2018,can,dual,gen,pumf,,,1051,1,0
